epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,1018.65,1.48222,0.60185,0.00259,0.89177,0.87324,0.93477,0.53923,1.55108,0.56337,0.00287,0.0011783,0.0011783,0.0011783
85,1030.69,1.5135,0.59022,0.00247,0.90041,0.8833,0.95255,0.54139,1.55213,0.54205,0.0028,0.0011684,0.0011684,0.0011684
86,1043.05,1.55348,0.6128,0.00244,0.89881,0.8757,0.94723,0.54474,1.53692,0.55222,0.00278,0.0011585,0.0011585,0.0011585
87,1054.77,1.51141,0.59226,0.0025,0.89207,0.89738,0.95549,0.53609,1.59065,0.5227,0.00295,0.0011486,0.0011486,0.0011486
88,1067.5,1.54094,0.59338,0.00238,0.89228,0.90003,0.95307,0.52944,1.60407,0.54026,0.00292,0.0011387,0.0011387,0.0011387
89,1079.2,1.4974,0.59456,0.0026,0.9067,0.87726,0.94816,0.52984,1.5777,0.55374,0.0029,0.0011288,0.0011288,0.0011288
90,1091.57,1.48693,0.57645,0.00252,0.88698,0.91585,0.95392,0.53659,1.56998,0.52048,0.00282,0.0011189,0.0011189,0.0011189
91,1103.41,1.46828,0.59757,0.0025,0.91304,0.90543,0.96142,0.55356,1.53617,0.50595,0.0028,0.001109,0.001109,0.001109
92,1114.96,1.50622,0.59573,0.00242,0.88473,0.91348,0.95516,0.54347,1.56464,0.51691,0.00284,0.0010991,0.0010991,0.0010991
93,1127.19,1.4972,0.59967,0.00245,0.9078,0.90342,0.95135,0.53815,1.56816,0.52879,0.00288,0.0010892,0.0010892,0.0010892
94,1138.58,1.51528,0.57553,0.0025,0.89215,0.92153,0.96002,0.54556,1.55718,0.51117,0.0028,0.0010793,0.0010793,0.0010793
95,1149.83,1.4647,0.58626,0.00257,0.92296,0.8833,0.95834,0.55769,1.54951,0.51586,0.00279,0.0010694,0.0010694,0.0010694
96,1162.13,1.4601,0.55021,0.00247,0.9269,0.89537,0.96522,0.542,1.5868,0.50874,0.0029,0.0010595,0.0010595,0.0010595
97,1173.94,1.53862,0.59484,0.00236,0.91908,0.89122,0.96217,0.54675,1.56529,0.52833,0.00286,0.0010496,0.0010496,0.0010496
98,1185.97,1.52598,0.57954,0.0024,0.89721,0.92354,0.95421,0.54633,1.53974,0.51593,0.00277,0.0010397,0.0010397,0.0010397
99,1198.41,1.50014,0.57667,0.00239,0.9114,0.91147,0.95976,0.54375,1.55701,0.50676,0.00286,0.0010298,0.0010298,0.0010298
100,1210.27,1.51356,0.57534,0.00252,0.92368,0.89336,0.96052,0.54125,1.57625,0.49603,0.00292,0.0010199,0.0010199,0.0010199
101,1222.31,1.52848,0.57554,0.00249,0.90049,0.90141,0.9517,0.52405,1.59395,0.52336,0.00291,0.00101,0.00101,0.00101
102,1234.23,1.52717,0.5879,0.00229,0.90973,0.91147,0.95692,0.56218,1.51778,0.50537,0.0027,0.0010001,0.0010001,0.0010001
103,1245.72,1.48308,0.57994,0.0024,0.93433,0.8874,0.95775,0.54631,1.54983,0.51801,0.00278,0.0009902,0.0009902,0.0009902
104,1257.51,1.49462,0.58104,0.00253,0.9143,0.9016,0.95828,0.54424,1.56849,0.50537,0.00288,0.0009803,0.0009803,0.0009803
105,1269.84,1.5256,0.57932,0.00229,0.90592,0.91059,0.9583,0.54799,1.55908,0.50781,0.00279,0.0009704,0.0009704,0.0009704
106,1282.23,1.52326,0.5806,0.00242,0.89058,0.91707,0.95948,0.53635,1.59984,0.532,0.00291,0.0009605,0.0009605,0.0009605
107,1294.19,1.48267,0.54711,0.00248,0.89373,0.89537,0.95312,0.54309,1.57729,0.52042,0.00283,0.0009506,0.0009506,0.0009506
108,1306.11,1.49918,0.556,0.00247,0.91452,0.90411,0.95552,0.54037,1.5898,0.52825,0.00287,0.0009407,0.0009407,0.0009407
109,1318.08,1.47366,0.54585,0.00246,0.89681,0.90342,0.95379,0.55349,1.54788,0.51576,0.00279,0.0009308,0.0009308,0.0009308
110,1329.65,1.42155,0.52016,0.00252,0.87817,0.92958,0.95382,0.54968,1.54136,0.51307,0.00281,0.0009209,0.0009209,0.0009209
111,1341.28,1.48183,0.57204,0.00241,0.91517,0.90744,0.9603,0.54925,1.54358,0.50874,0.00281,0.000911,0.000911,0.000911
112,1352.98,1.43928,0.56396,0.00265,0.92384,0.90141,0.95849,0.53895,1.58573,0.51239,0.00293,0.0009011,0.0009011,0.0009011
113,1364.82,1.46972,0.55775,0.00246,0.90742,0.91751,0.95907,0.55065,1.56423,0.4961,0.00287,0.0008912,0.0008912,0.0008912
114,1376.86,1.45139,0.57212,0.00246,0.90216,0.92767,0.96408,0.53433,1.61414,0.49278,0.00302,0.0008813,0.0008813,0.0008813
115,1388.92,1.52018,0.57291,0.0025,0.92517,0.89537,0.96435,0.55076,1.5581,0.48572,0.00285,0.0008714,0.0008714,0.0008714
116,1400.62,1.47525,0.53345,0.00235,0.90269,0.9332,0.96416,0.54685,1.57791,0.49169,0.00283,0.0008615,0.0008615,0.0008615
117,1412.43,1.45089,0.55093,0.00236,0.9314,0.90543,0.96625,0.55747,1.57202,0.49435,0.00286,0.0008516,0.0008516,0.0008516
118,1424.28,1.47242,0.54175,0.00233,0.90249,0.90946,0.96376,0.53948,1.58647,0.50677,0.00293,0.0008417,0.0008417,0.0008417
119,1435.54,1.47941,0.55517,0.00249,0.91053,0.90543,0.95986,0.56314,1.53455,0.49507,0.00278,0.0008318,0.0008318,0.0008318
120,1447.39,1.48221,0.56605,0.00231,0.91408,0.8833,0.95867,0.53555,1.5807,0.51514,0.00289,0.0008219,0.0008219,0.0008219
121,1459.39,1.5294,0.56241,0.0022,0.89593,0.91807,0.956,0.53125,1.58429,0.52236,0.00292,0.000812,0.000812,0.000812
122,1471.11,1.43449,0.52722,0.00229,0.91742,0.90543,0.96051,0.5562,1.55723,0.51024,0.00282,0.0008021,0.0008021,0.0008021
123,1483.31,1.49084,0.54612,0.00239,0.91297,0.88646,0.95804,0.55121,1.5509,0.51062,0.0028,0.0007922,0.0007922,0.0007922
124,1495.6,1.48932,0.54295,0.00231,0.92063,0.88687,0.96036,0.54313,1.56718,0.50114,0.00284,0.0007823,0.0007823,0.0007823
125,1507.25,1.42327,0.5574,0.00241,0.89677,0.88732,0.9499,0.53604,1.56143,0.54174,0.00283,0.0007724,0.0007724,0.0007724
126,1519.48,1.46953,0.54887,0.00235,0.87752,0.91348,0.95243,0.5528,1.54702,0.50868,0.0028,0.0007625,0.0007625,0.0007625
127,1531.17,1.45602,0.52216,0.00234,0.91148,0.89089,0.95499,0.54102,1.55701,0.5045,0.00284,0.0007526,0.0007526,0.0007526
128,1543.21,1.45758,0.5415,0.0023,0.89078,0.91898,0.95347,0.53943,1.55376,0.50223,0.00284,0.0007427,0.0007427,0.0007427
129,1554.89,1.41882,0.54035,0.00249,0.90261,0.93241,0.96153,0.545,1.55299,0.49538,0.00283,0.0007328,0.0007328,0.0007328
130,1566.52,1.46197,0.53129,0.00236,0.88489,0.92802,0.95873,0.5567,1.52485,0.49107,0.00277,0.0007229,0.0007229,0.0007229
131,1578.43,1.46802,0.54431,0.00226,0.88711,0.92958,0.95989,0.55343,1.55384,0.48281,0.00285,0.000713,0.000713,0.000713
132,1589.72,1.39956,0.51277,0.00237,0.8895,0.92319,0.96141,0.54937,1.54993,0.48754,0.00282,0.0007031,0.0007031,0.0007031
133,1602.05,1.45187,0.52099,0.00228,0.89387,0.91513,0.95513,0.5576,1.52855,0.48038,0.00275,0.0006932,0.0006932,0.0006932
134,1613.58,1.40689,0.51438,0.00234,0.92147,0.90946,0.96065,0.55025,1.56304,0.49094,0.00285,0.0006833,0.0006833,0.0006833
135,1624.94,1.46222,0.51607,0.00234,0.91779,0.8994,0.9579,0.54918,1.55825,0.49891,0.00285,0.0006734,0.0006734,0.0006734
136,1636.66,1.45743,0.53724,0.00227,0.9188,0.90946,0.95947,0.55219,1.54916,0.49026,0.00284,0.0006635,0.0006635,0.0006635
137,1649.08,1.50383,0.54867,0.0022,0.93272,0.89738,0.95921,0.55005,1.55316,0.50001,0.00282,0.0006536,0.0006536,0.0006536
138,1661.07,1.41169,0.50722,0.00234,0.9215,0.89752,0.95897,0.55708,1.55705,0.48697,0.00285,0.0006437,0.0006437,0.0006437
139,1673.29,1.46587,0.55109,0.00226,0.92437,0.8853,0.95981,0.54319,1.58431,0.51422,0.00286,0.0006338,0.0006338,0.0006338
140,1685.48,1.41206,0.52541,0.00243,0.90907,0.90525,0.96325,0.54936,1.57254,0.51903,0.00287,0.0006239,0.0006239,0.0006239
141,1697.19,1.41678,0.5065,0.00238,0.90905,0.92508,0.9644,0.55067,1.55108,0.48539,0.00282,0.000614,0.000614,0.000614
142,1709.09,1.46444,0.52029,0.0024,0.90707,0.90341,0.9605,0.55023,1.55877,0.51014,0.00284,0.0006041,0.0006041,0.0006041
143,1720.55,1.47894,0.5342,0.0023,0.92007,0.90324,0.96077,0.5529,1.56102,0.48858,0.00285,0.0005942,0.0005942,0.0005942
144,1732.57,1.47179,0.52508,0.00228,0.89047,0.93236,0.96337,0.55426,1.55649,0.48358,0.00284,0.0005843,0.0005843,0.0005843
145,1743.81,1.43186,0.5197,0.00225,0.90581,0.90949,0.95849,0.53811,1.58636,0.50399,0.00293,0.0005744,0.0005744,0.0005744
146,1754.84,1.45183,0.51134,0.00229,0.91108,0.90141,0.95981,0.55204,1.54783,0.50246,0.00284,0.0005645,0.0005645,0.0005645
147,1766.54,1.45565,0.531,0.00238,0.91522,0.91227,0.95855,0.55316,1.57336,0.5002,0.00287,0.0005546,0.0005546,0.0005546
148,1778.47,1.42649,0.50188,0.00217,0.93435,0.88775,0.95855,0.55659,1.54389,0.49935,0.0028,0.0005447,0.0005447,0.0005447
149,1790.16,1.44593,0.51529,0.00239,0.91999,0.91751,0.95768,0.54615,1.56983,0.50287,0.00285,0.0005348,0.0005348,0.0005348
150,1801.66,1.41111,0.51544,0.00226,0.91087,0.91348,0.95634,0.54513,1.578,0.50548,0.00287,0.0005249,0.0005249,0.0005249
151,1814.37,1.49493,0.5411,0.00216,0.9125,0.92322,0.95967,0.55684,1.54384,0.49073,0.00281,0.000515,0.000515,0.000515
152,1826.47,1.44546,0.5114,0.00222,0.92634,0.91092,0.96321,0.54742,1.56792,0.49782,0.00286,0.0005051,0.0005051,0.0005051
153,1838.43,1.47733,0.51439,0.00231,0.91377,0.91683,0.96207,0.55242,1.56941,0.49209,0.00288,0.0004952,0.0004952,0.0004952
154,1850.47,1.45887,0.51185,0.00225,0.89996,0.92317,0.95516,0.54461,1.5693,0.48927,0.00291,0.0004853,0.0004853,0.0004853
155,1862.69,1.42636,0.49812,0.00222,0.91284,0.90543,0.95486,0.54272,1.57196,0.49475,0.00285,0.0004754,0.0004754,0.0004754
156,1874.43,1.40494,0.5007,0.00226,0.9096,0.90744,0.95488,0.54723,1.57298,0.49296,0.00289,0.0004655,0.0004655,0.0004655
157,1887.52,1.43672,0.51496,0.00218,0.91332,0.91549,0.95941,0.56032,1.57654,0.4784,0.00292,0.0004556,0.0004556,0.0004556
158,1898.7,1.41838,0.51284,0.00223,0.92519,0.91751,0.95967,0.55488,1.55348,0.48489,0.00286,0.0004457,0.0004457,0.0004457
159,1910.08,1.44373,0.5123,0.00226,0.92408,0.90141,0.96021,0.55554,1.55982,0.47706,0.00284,0.0004358,0.0004358,0.0004358
160,1922.14,1.41831,0.51865,0.00231,0.92022,0.90543,0.95949,0.54748,1.57478,0.48523,0.00286,0.0004259,0.0004259,0.0004259
161,1933.65,1.40881,0.50567,0.00224,0.91719,0.91374,0.95808,0.55122,1.55085,0.48027,0.00284,0.000416,0.000416,0.000416
162,1945.24,1.37765,0.49557,0.00218,0.91053,0.92153,0.96407,0.5666,1.53835,0.47434,0.00282,0.0004061,0.0004061,0.0004061
163,1956.93,1.40193,0.50652,0.00215,0.9075,0.91348,0.95773,0.54825,1.57892,0.48989,0.00293,0.0003962,0.0003962,0.0003962
164,1968.69,1.39221,0.49834,0.0021,0.90116,0.91726,0.95587,0.55447,1.55055,0.49361,0.00286,0.0003863,0.0003863,0.0003863
165,1980.57,1.40003,0.50315,0.00229,0.91736,0.91575,0.96136,0.55402,1.57851,0.48988,0.0029,0.0003764,0.0003764,0.0003764
166,1992.51,1.42155,0.48384,0.00215,0.90869,0.92555,0.95923,0.55584,1.5772,0.48323,0.00288,0.0003665,0.0003665,0.0003665
167,2004.33,1.34283,0.5009,0.00244,0.92307,0.91742,0.95994,0.55287,1.5644,0.48074,0.00287,0.0003566,0.0003566,0.0003566
168,2015.35,1.41127,0.50065,0.00246,0.92295,0.93561,0.963,0.56186,1.5502,0.47436,0.00283,0.0003467,0.0003467,0.0003467
169,2027.21,1.41948,0.50844,0.00223,0.93417,0.91373,0.96111,0.55491,1.55313,0.47457,0.00286,0.0003368,0.0003368,0.0003368
170,2038.83,1.37982,0.48352,0.00231,0.92295,0.90744,0.95623,0.55368,1.56234,0.4762,0.00286,0.0003269,0.0003269,0.0003269
171,2050.55,1.39922,0.50861,0.00225,0.91628,0.90543,0.95981,0.54731,1.58408,0.48811,0.00293,0.000317,0.000317,0.000317
172,2062.37,1.44006,0.51041,0.00215,0.89443,0.90342,0.9575,0.54393,1.58929,0.49809,0.0029,0.0003071,0.0003071,0.0003071
173,2073.34,1.42905,0.48775,0.00229,0.88585,0.92127,0.95889,0.54154,1.57068,0.50088,0.00286,0.0002972,0.0002972,0.0002972
174,2085.28,1.38183,0.49942,0.00211,0.89938,0.92153,0.96237,0.54777,1.57091,0.50013,0.00286,0.0002873,0.0002873,0.0002873
175,2097.62,1.45434,0.50981,0.00209,0.89517,0.91952,0.9604,0.55752,1.55452,0.49631,0.00281,0.0002774,0.0002774,0.0002774
176,2109.76,1.4104,0.47942,0.00229,0.91062,0.92153,0.96073,0.55587,1.54879,0.48272,0.00286,0.0002675,0.0002675,0.0002675
177,2121.61,1.39757,0.49608,0.00221,0.91574,0.91843,0.95698,0.55692,1.55408,0.48088,0.00285,0.0002576,0.0002576,0.0002576
178,2133.87,1.42702,0.50513,0.00213,0.91673,0.90823,0.95751,0.54962,1.57687,0.49665,0.00286,0.0002477,0.0002477,0.0002477
179,2145.69,1.41784,0.48954,0.00227,0.9271,0.89565,0.96212,0.55298,1.56307,0.47884,0.00285,0.0002378,0.0002378,0.0002378
180,2157.54,1.41203,0.49673,0.00235,0.91948,0.91147,0.96046,0.55601,1.55599,0.47934,0.00284,0.0002279,0.0002279,0.0002279
181,2169.91,1.4209,0.48913,0.00209,0.92103,0.90946,0.96116,0.55609,1.56268,0.49126,0.00284,0.000218,0.000218,0.000218
182,2181.99,1.44897,0.49858,0.00209,0.91102,0.92555,0.96116,0.55326,1.56741,0.48359,0.00288,0.0002081,0.0002081,0.0002081
183,2193.38,1.35011,0.4835,0.00226,0.90443,0.92153,0.95871,0.55142,1.56277,0.47653,0.00287,0.0001982,0.0001982,0.0001982
