epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,2139.91,1.32037,0.55302,1.01384,0.91896,0.91261,0.95985,0.56338,1.46642,0.56543,1.07551,0.0008516,0.0008516,0.0008516
118,2158.33,1.32848,0.55117,1.02231,0.90956,0.9308,0.96065,0.55346,1.49061,0.56695,1.08666,0.0008417,0.0008417,0.0008417
119,2176.55,1.32189,0.55663,1.01536,0.91188,0.92354,0.95645,0.5518,1.48739,0.56525,1.08056,0.0008318,0.0008318,0.0008318
120,2194.84,1.28151,0.5356,1.00839,0.90864,0.9336,0.95278,0.53659,1.5375,0.56495,1.11119,0.0008219,0.0008219,0.0008219
121,2213.17,1.30181,0.53725,1.00335,0.91245,0.9227,0.95478,0.53727,1.52371,0.56966,1.10364,0.000812,0.000812,0.000812
122,2231.77,1.28911,0.53786,0.99804,0.90322,0.92153,0.9533,0.53289,1.54269,0.58498,1.12562,0.0008021,0.0008021,0.0008021
123,2250.15,1.27945,0.53238,0.99667,0.89869,0.93561,0.955,0.54631,1.50013,0.56255,1.09428,0.0007922,0.0007922,0.0007922
124,2268.83,1.28985,0.54111,1,0.92704,0.90543,0.95279,0.5483,1.50196,0.56949,1.09082,0.0007823,0.0007823,0.0007823
125,2286.72,1.28371,0.52904,1.00581,0.91376,0.91676,0.95141,0.55233,1.47798,0.56473,1.07861,0.0007724,0.0007724,0.0007724
126,2304.78,1.29041,0.53141,1.01159,0.92448,0.91133,0.956,0.56124,1.47701,0.56334,1.0819,0.0007625,0.0007625,0.0007625
127,2322.93,1.27731,0.52868,1.00075,0.91734,0.90946,0.94882,0.55747,1.47608,0.55879,1.08697,0.0007526,0.0007526,0.0007526
128,2340.91,1.28174,0.53216,1.01736,0.90982,0.91549,0.95542,0.54504,1.51345,0.57318,1.10541,0.0007427,0.0007427,0.0007427
129,2358.96,1.28073,0.53358,1.00119,0.91339,0.9124,0.95176,0.54582,1.49953,0.56675,1.10419,0.0007328,0.0007328,0.0007328
130,2377,1.28012,0.52196,1.00647,0.90652,0.92555,0.956,0.54324,1.53471,0.56254,1.10525,0.0007229,0.0007229,0.0007229
131,2394.88,1.29192,0.53106,1.01162,0.9055,0.92541,0.95739,0.56322,1.46931,0.55588,1.07819,0.000713,0.000713,0.000713
132,2413.25,1.27036,0.52576,0.99261,0.91457,0.92623,0.961,0.55816,1.48657,0.55443,1.08685,0.0007031,0.0007031,0.0007031
133,2431.29,1.25186,0.51861,1.00418,0.90363,0.93763,0.95841,0.55525,1.49728,0.55899,1.09532,0.0006932,0.0006932,0.0006932
